Variable,Tipo,Longitud,Decimales,Descripción,Valores,Etiquetas
ESCO_MAN,CARÁCTER,2,,¿Cuál es el máximo nivel de estudios del jefe o jefa de tu hogar?,01,No estudió
,,,,,02,Primaria incompleta
,,,,,03,Primaria completa
,,,,,04,Secundaria incompleta
,,,,,05,Secundaria completa
,,,,,06,Bachillerato (nivel medio superior) incompleto
,,,,,07,Bachillerato (nivel medio superior) completo
,,,,,08,Carrera técnica incompleta
,,,,,09,Carrera técnica completa
,,,,,10,Técnico superior universitario (después del bachillerato) incompleto
,,,,,11,Técnico superior universitario (después del bachillerato) completo
,,,,,12,Licenciatura incompleta
,,,,,13,Licenciatura completa
,,,,,14,"Posgrado (especialidad, maestría, doctorado)"
ESCO_MAD,CARÁCTER,2,,¿Cuál es el máximo nivel de estudios de tu madre (aunque haya fallecido)?,01,No estudió
,,,,,02,Primaria incompleta
,,,,,03,Primaria completa
,,,,,04,Secundaria incompleta
,,,,,05,Secundaria completa
,,,,,06,Bachillerato (nivel medio superior) incompleto
,,,,,07,Bachillerato (nivel medio superior) completo
,,,,,08,Carrera técnica incompleta
,,,,,09,Carrera técnica completa
,,,,,10,Técnico superior universitario (después del bachillerato) incompleto
,,,,,11,Técnico superior universitario (después del bachillerato) completo
,,,,,12,Licenciatura incompleta
,,,,,13,Licenciatura completa
,,,,,14,"Posgrado (especialidad, maestría, doctorado)"
ESCO_PAD,CARÁCTER,2,,¿Cuál es el máximo nivel de estudios de tu padre (aunque haya fallecido)?,01,No estudió
,,,,,02,Primaria incompleta
,,,,,03,Primaria completa
,,,,,04,Secundaria incompleta
,,,,,05,Secundaria completa
,,,,,06,Bachillerato (nivel medio superior) incompleto
,,,,,07,Bachillerato (nivel medio superior) completo
,,,,,08,Carrera técnica incompleta
,,,,,09,Carrera técnica completa
,,,,,10,Técnico superior universitario (después del bachillerato) incompleto
,,,,,11,Técnico superior universitario (después del bachillerato) completo
,,,,,12,Licenciatura incompleta
,,,,,13,Licenciatura completa
,,,,,14,"Posgrado (especialidad, maestría, doctorado)"
CUAN_LIB,CARÁCTER,1,,"¿Cuántos libros hay en tu casa? (no consideres revistas, periódicos o libros de texto)",1,Ninguno
,,,,,2,1 a 10
,,,,,3,11 a 25 (ocupan la mitad de un estante)
,,,,,4,26 a 50 (un estante)
,,,,,5,51 a 100 (dos o tres estantes)
,,,,,6,101 a 200 (cinco estantes)
,,,,,7,201 a 500 (10 estantes o dos libreros)
,,,,,8,Más de 500
NIV_EDU,CARÁCTER,1,,¿Hasta qué nivel educativo quieren tus padres que estudies?,1,Secundaria
,,,,,2,Nivel medio superior (bachillerato)
,,,,,3,Carrera técnica
,,,,,4,Carrera técnica superior (después del bachillerato)
,,,,,5,Licenciatura
,,,,,6,"Posgrado (especialidad, maestría, doctorado)"
CPV_CASA,CARÁCTER,1,,¿Cuántas personas viven en tu casa?,1,1
,,,,,2,2
,,,,,3,3
,,,,,4,4
,,,,,5,5
,,,,,6,6
,,,,,7,7
,,,,,8,8
,,,,,9,9 o más
¿Cuentas con los siguientes bienes y servicios en tu casa? ,,,,,,
SER_TELE,CARÁCTER,1,,Línea telefónica fija,1,Sí
,,,,,2,No
SER_LAV,CARÁCTER,1,,Lavadora de ropa,1,Sí
,,,,,2,No
SER_REF,CARÁCTER,1,,Refrigerador,1,Sí
,,,,,2,No
SER_HOR,CARÁCTER,1,,Horno de microondas,1,Sí
,,,,,2,No
SER_INTE,CARÁCTER,1,,Internet en tu casa,1,Sí
,,,,,2,No
SER_CABL,CARÁCTER,1,,"Televisión de paga (Izzi, Sky, Dish, etc.)",1,Sí
,,,,,2,No
SER_TABL,CARÁCTER,1,,"Tableta (iPad, Samsung Galaxy, Playbook, etc.)",1,Sí
,,,,,2,No
CUARTOS,CARÁCTER,2,,"¿Cuántos cuartos tiene la casa en dónde vives? (sala, comedor, recámaras, estudio, etc., no cuentes cocina, baños, ni pasillos)",01,0
,,,,,02,1
,,,,,03,2
,,,,,04,3
,,,,,05,4
,,,,,06,5
,,,,,07,6
,,,,,08,7
,,,,,09,8
,,,,,10,9 o más
¿Cuántos de los siguientes bienes tienes en tu casa?,,,,,,
BIEN_PC,CARÁCTER,1,,Computadora,1,Ninguno
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
SER_TV,CARÁCTER,1,,Televisor,1,Ninguno
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
SER_AUTO,CARÁCTER,1,,Automóvil,1,Ninguno
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
SER_BANO,CARÁCTER,1,,Baños completos (con regadera),1,Ninguno
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
VAC_RM,CARÁCTER,1,,¿Cuántas veces has salido de vacaciones dentro de la República Mexicana en los últimos 2 años?,1,Ninguna
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
¿Qué tanto influyeron las siguientes personas para elegir la escuela para estudiar el nivel medio superior?,,,,,,
INF_PAD,CARÁCTER,1,,Padres,1,Nada
,,,,,2,Poco
,,,,,3,Algo
,,,,,4,Mucho
INF_HER,CARÁCTER,1,,Hermanos,1,Nada
,,,,,2,Poco
,,,,,3,Algo
,,,,,4,Mucho
INF_AMI,CARÁCTER,1,,Amigos,1,Nada
,,,,,2,Poco
,,,,,3,Algo
,,,,,4,Mucho
INF_PRF,CARÁCTER,1,,Profesores,1,Nada
,,,,,2,Poco
,,,,,3,Algo
,,,,,4,Mucho
INF_POE,CARÁCTER,1,,Psicólogos u orientadores educativos,1,Nada
,,,,,2,Poco
,,,,,3,Algo
,,,,,4,Mucho
UTI_GUI,CARÁCTER,1,,¿Utilizaste la guía interactiva para prepararte para este examen?,1,Sí
,,,,,2,No
¿Tomaste un curso de preparación para el examen de la COMIPEMS?,,,,,,
CUR_ESC,CARÁCTER,1,,En tu escuela,1,Sí
,,,,,2,No
CUR_IPA,CARÁCTER,1,,En una institución particular,1,Sí
,,,,,2,No
CUR_MPA,CARÁCTER,1,,Con un maestro particular,1,Sí
,,,,,2,No
¿Cuáles de los siguientes motivos consideras que influirían para que abandonaras tus estudios en el nivel medio superior? ,,,,,,
ANMS_APF,CARÁCTER,1,,Falta de apoyo de mi familia,1,Sí
,,,,,2,No
ANMS_ECE,CARÁCTER,1,,Por sentirme excluido por mis compañeros de escuela,1,Sí
,,,,,2,No
ANMS_PEC,CARÁCTER,1,,Problemas económicos,1,Sí
,,,,,2,No
ANMS_NET,CARÁCTER,1,,Necesidad de empezar a trabajar,1,Sí
,,,,,2,No
ANMS_DME,CARÁCTER,1,,Dificultad de algunas materias en la escuela,1,Sí
,,,,,2,No
ANMS_AME,CARÁCTER,1,,Falta de apoyo de mis maestros de la escuela,1,Sí
,,,,,2,No
ANMS_DCE,CARÁCTER,1,,Deficiencia en la calidad de la escuela,1,Sí
,,,,,2,No
ANMS_DLE,CARÁCTER,1,,Dificultad para llegar a la escuela (si mi escuela me quedara lejos),1,Sí
,,,,,2,No
ANMS_IDE,CARÁCTER,1,,Inseguridad dentro de la escuela,1,Sí
,,,,,2,No
ANMS_PEM,CARÁCTER,1,,Problemas emocionales,1,Sí
,,,,,2,No
ANMS_ENF,CARÁCTER,1,,Enfermedad,1,Sí
,,,,,2,No
ANMS_EPA,CARÁCTER,1,,Embarazo mío o de mi pareja,1,Sí
,,,,,2,No
"¿Tus padres cuentan con algunas de las siguientes prestaciones, aunque no las hayan utilizado?",,,,,,
PRE_SSPM,CARÁCTER,1,,"Servicio médico por el Instituto de Salud para el Bienestar, antes Seguro Popular",1,Madre
PRE_SSPP,CARÁCTER,1,,"Servicio médico por el Instituto de Salud para el Bienestar, antes Seguro Popular",1,Padre
PRE_IMSM,CARÁCTER,1,,Servicios médicos del IMSS,1,Madre
PRE_IMSP,CARÁCTER,1,,Servicios médicos del IMSS,1,Padre
PRE_ISTM,CARÁCTER,1,,Servicios médicos del ISSSTE,1,Madre
PRE_ISTP,CARÁCTER,1,,Servicios médicos del ISSSTE,1,Padre
PRE_PDNM,CARÁCTER,1,,"Servicios médicos de Pemex, Defensa Nacional o Marina",1,Madre
PRE_PDNP,CARÁCTER,1,,"Servicios médicos de Pemex, Defensa Nacional o Marina",1,Padre
PRE_SMPM,CARÁCTER,1,,Servicios médicos privados,1,Madre
PRE_SMPP,CARÁCTER,1,,Servicios médicos privados,1,Padre
PRE_OSMM,CARÁCTER,1,,Otros servicios médicos,1,Madre
PRE_OSMP,CARÁCTER,1,,Otros servicios médicos,1,Padre
"¿Tus padres cuentan con algunos de los siguientes servicios de seguridad social, aunque no los hayan utilizado?",,,,,,
ASSS_INM,CARÁCTER,1,,"Licencia o incapacidad con goce de sueldo (por enfermedad, accidente o maternidad)",1,Madre
ASSS_INP,CARÁCTER,1,,"Licencia o incapacidad con goce de sueldo (por enfermedad, accidente o maternidad)",1,Padre
ASSS_PEM,CARÁCTER,1,,Ahorro para el retiro o pensión para la vejez (SAR o AFORE),1,Madre
ASSS_PEP,CARÁCTER,1,,Ahorro para el retiro o pensión para la vejez (SAR o AFORE),1,Padre
ASSS_PIM,CARÁCTER,1,,Pensión en caso de invalidez,1,Madre
ASSS_PIP,CARÁCTER,1,,Pensión en caso de invalidez,1,Padre
ASSS_BAM,CARÁCTER,1,,Becas y apoyos educativos,1,Madre
ASSS_BAP,CARÁCTER,1,,Becas y apoyos educativos,1,Padre
ASSS_PFM,CARÁCTER,1,,Pensión para su familia en caso de fallecimiento,1,Madre
ASSS_PFP,CARÁCTER,1,,Pensión para su familia en caso de fallecimiento,1,Padre
MAT_PISOS,CARÁCTER,1,,¿Cuál es el material predominante en los pisos de tu vivienda?,1,Tierra
,,,,,2,Cemento o firme
,,,,,3,"Linóleum, congoleum o vinil"
,,,,,4,Laminado o alfombra
,,,,,5,"Mosaico, mármol o vitropiso"
,,,,,6,"Madera, duela o parquet"
MAT_TECHO,CARÁCTER,1,,¿Cuál es el material predominante en los techos de tu vivienda?,1,Material de desecho
,,,,,2,Lámina de cartón
,,,,,3,Lámina metálica
,,,,,4,Lámina de asbesto
,,,,,5,Palma o paja
,,,,,6,Madera o tejamanil
,,,,,7,Teja
,,,,,8,Terrado con viguería
,,,,,9,Losa de concreto o viguetas con bovedilla
MAT_PARED,CARÁCTER,1,,¿Cuál es el material predominante en las paredes o muros de tu vivienda?,1,Material de desecho
,,,,,2,Lámina de cartón
,,,,,3,Lámina metálica o asbesto
,,,,,4,"Carrizo, bambú o palma"
,,,,,5,Embarro o bajareque
,,,,,6,Madera
,,,,,7,Adobe
,,,,,8,"Muros de tabique, ladrillo o block o piedra o concreto"
¿De qué servicios disfrutas en tu casa? ,,,,,,
SDC_DRE,CARÁCTER,1,,Servicio de drenaje o alcantarillado,1,Sí
,,,,,2,No
SDC_APOT,CARÁCTER,1,,Servicio de agua potable entubada,1,Sí
,,,,,2,No
SDC_LUZ,CARÁCTER,1,,Luz eléctrica de servicio público,1,Sí
,,,,,2,No
SDC_GAS,CARÁCTER,1,,"Gas natural, de tanque o de tubería para cocinar",1,Sí
,,,,,2,No
¿De qué bienes disfrutas en tu casa?,,,,,,
BDC_AUT,CARÁCTER,1,,"Automóvil o camioneta (0, 1, 2 o más)",1,0
,,,,,2,1
,,,,,3,2 o más
BDC_BAN,CARÁCTER,1,,"Cuarto de baño con regadera y excusado (0, 1, 2 o más)",1,0
,,,,,2,1
,,,,,3,2 o más
En los últimos tres meses por falta de dinero o recursos tú o alguien de tu familia:,,,,,,
REC_ALI,CARÁCTER,1,,Tuvo una alimentación muy poco variada,1,Sí
,,,,,2,No
REC_DCC,CARÁCTER,1,,"Dejó de desayunar, comer o cenar",1,Sí
,,,,,2,No
REC_CMDC,CARÁCTER,1,,Comió menos de lo que piensa debería comer ,1,Sí
,,,,,2,No
REC_SCOM,CARÁCTER,1,,Se quedó sin comer ,1,Sí
,,,,,2,No
REC_HAM,CARÁCTER,1,,"Sintió hambre, y no comió",1,Sí
,,,,,2,No
REC_CUVD,CARÁCTER,1,,Sólo comió una vez al día,1,Sí
,,,,,2,No
ING_MEN,CARÁCTER,2,,"¿A cuánto ascienden los ingresos mensuales en tu familia, sin considerar impuestos? (incluye a todas las personas que contribuyen al ingreso familiar, aun cuando no vivan contigo)",01,"$1,748"
,,,,,02,"de $1,748 a $3,496"
,,,,,03,"de $3,496 a $5,244"
,,,,,04,"de $5,244 a $6,992"
,,,,,05,"de $6,992 a $8,740"
,,,,,06,"de $8,740 a $10,488"
,,,,,07,"de $10,488 a $12,236"
,,,,,08,"de $12,236 a $13,984"
,,,,,09,"de $13,984 a $15,732"
,,,,,10,"de $15,732 a $17,480"
,,,,,11,"de $17,480 a $19,228"
,,,,,12,"de $19,228 a $20,976"
,,,,,13,"de $20,976 a $22,724"
,,,,,14,"de $22,724 a $24,472"
,,,,,15,"de $24,472 a $26,220"
,,,,,16,"de $26,220 a $27,968"
,,,,,17,"de $27,968 a $29,716"
,,,,,18,"de $29,716 a $31,464"
,,,,,19,"de $31,464 a $33,212"
,,,,,20,"de $33,212 a $34,960"
,,,,,21,"más de $34,960"
